1_240217,CONSTITUCIÓN Política de los Estados Unidos Mexicanos
2_241213,CÓDIGO Civil Federal
3_250117,CÓDIGO de Comercio
4_160516,CÓDIGO de Justicia Militar
6,CÓDIGO Federal de Procedimientos Civiles
8_270117,CÓDIGO Fiscal de la Federación
CMPP,CÓDIGO Militar de Procedimientos Penales
CNPP_170616,CÓDIGO Nacional de Procedimientos Penales
9_180716,CÓDIGO Penal Federal
10_270614,ESTATUTO de Gobierno del Distrito Federal
11,ESTATUTO de las Islas Marías
79,"IMPUESTO Sobre Servicios Expresamente Declarados de Interés Público por Ley, en los que Intervengan Empresas Concesionarias de Bienes del Dominio Directo de la Nación (LEY que establece, reforma y adiciona las disposiciones relativas a diversos impuestos)"
12_270117,LEY Aduanera
13_191216,LEY Agraria
14_101114,"LEY de Adquisiciones, Arrendamientos y Servicios del Sector Público"
15_080616,LEY de Aeropuertos
16_240316,LEY de Aguas Nacionales
17,LEY de Ahorro y Crédito Popular
19,LEY de Amnistía
LAmp_170616,"LEY de Amparo, Reglamentaria de los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos"
21,LEY de Ascensos de la Armada de México
22_270117,LEY de Ascensos y Recompensas del Ejército y Fuerza Aérea Mexicanos
270_191214,LEY de Asistencia Social
LAPP_210416,LEY  de Asociaciones Público Privadas
24_171215,LEY de Asociaciones Religiosas y Culto Público
25_101016,LEY de Aviación Civil
LAAT,LEY de Ayuda Alimentaria para los Trabajadores
LBOGM,LEY de Bioseguridad de Organismos Genéticamente Modificados
LCEC,LEY de Cámaras Empresariales y sus Confederaciones
27_101016,"LEY de Caminos, Puentes y Autotransporte Federal"
238,LEY de Capitalización del Procampo
242_081215,LEY de Ciencia y Tecnología
28,LEY de Comercio Exterior
29,LEY de Concursos Mercantiles
30,LEY de Contribución de Mejoras por Obras Públicas Federales de Infraestructura Hidráulica
LCID_171215,LEY  de Cooperación Internacional para el Desarrollo
31_180716,LEY de Coordinación Fiscal
235,LEY de Desarrollo Rural Sustentable
LDSCA,LEY de Desarrollo Sustentable de la Caña de Azúcar
33,LEY de Disciplina del Ejército y Fuerza Aérea Mexicanos
LDFEFM_270416,LEY de Disciplina Financiera de las Entidades Federativas y los Municipios
252,LEY de Disciplina para el Personal de la Armada de México
LEMEFAM,LEY de Educación Militar del Ejército y Fuerza Aérea Mexicanos
LEG_110814,LEY de Energía Geotérmica
246,LEY de Energía para el Campo
35,LEY de Expropiación
36,LEY de Extradición Internacional
LFEA,LEY  de Firma Electrónica Avanzada
LFRCF,LEY  de Fiscalización y Rendición de Cuentas de la Federación
LFLL_171215,LEY de Fomento para la Lectura y el Libro
LFAAR,LEY de Fondos de Aseguramiento Agropecuario y Rural
69_130614,LEY de Fondos de Inversión
LHidro_151116,LEY  de Hidrocarburos
LIF_2017,LEY de Ingresos de la Federación para el Ejercicio Fiscal de 2017
LIH_060117,LEY  de Ingresos sobre Hidrocarburos
43_170616,LEY de Instituciones de Crédito
LISF,LEY de Instituciones de Seguros y de Fianzas
44_181215,LEY de Inversión Extranjera
LANSI_110814,LEY de la Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos
45,LEY de la Casa de Moneda de México
LCFE_110814,LEY de la Comisión Federal de Electricidad
46,LEY de la Comisión Nacional Bancaria y de Valores
47_270117,LEY de la Comisión Nacional de los Derechos Humanos
261_070416,LEY de la Comisión Nacional para el Desarrollo de los Pueblos Indígenas
LESS_301215,"LEY de la Economía Social y Solidaria, Reglamentaria del Párrafo Octavo del Artículo 25 de la Constitución Política de los Estados Unidos Mexicanos, en lo referente al sector social de la economía"
LIElec_110814,LEY de la Industria Eléctrica
LPF,LEY de la Policía Federal
50_010616,LEY de la Propiedad Industrial
245_271216,LEY de los Derechos de las Personas Adultas Mayores
LIGIE,LEY de los Impuestos Generales de Importación y de Exportación
51_270115,LEY de los Institutos Nacionales de Salud
LORCME_110814,LEY de los Órganos Reguladores Coordinados en Materia Energética
52,LEY de los Sistemas de Ahorro para el Retiro
LMigra_210416,LEY de  Migración
53,LEY de Nacionalidad
LNCM_191216,LEY de Navegación y Comercio Marítimos
56_130116,LEY de Obras Públicas y Servicios Relacionados con las Mismas
57,LEY de Organizaciones Ganaderas
LPM_110814,LEY  de Petróleos Mexicanos
59_281116,LEY de Planeación
60_171215,"LEY de Premios, Estímulos y Recompensas Civiles"
LPO,LEY de Productos Orgánicos
LPDB,LEY de Promoción y Desarrollo de los Bioenergéticos
62,LEY de Protección al Ahorro Bancario
63,LEY de Protección al Comercio y la Inversión de Normas Extranjeras que Contravengan el Derecho Internacional
64,LEY de Protección y Defensa al Usuario de Servicios Financieros
65_191216,LEY de Puertos
66,LEY de Recompensas de la Armada de México
67,LEY de Responsabilidad Civil por Daños Nucleares
LSegNa,LEY de Seguridad Nacional
255,LEY de Sistemas de Pagos
70,LEY de Sociedades de Responsabilidad Limitada de Interés Público
71,LEY de Sociedades de Solidaridad Social
LTF,LEY de Tesorería de la Federación
LTE,LEY de Transición Energética
256,LEY de Transparencia y de Fomento a la Competencia en el Crédito Garantizado
LUC,LEY  de Uniones de Crédito
